abiotic
ecological niche
ecology
ecosphere
ecosystem
ecosystem diversity
ecotone
eddy
eddy diffusion
edge wave
effusive eruption
elastic deformation
elastic limit
elastic rebound theory
elastic wave
electrical energy
electromagnetic energy
electromagnetic radiation
waves
electromagnetic spectrum
electron
element
el niño
eluviation
emigration
emissivity
endangered species
endogenic
energy
energy flux
entisols
entrainment
entropy
environment
environmental gradient
environmental lapse rate
elr
environmental science
environmental system
enzyme
eolian
eolian landform
eon
epicenter
epiphyte
epoch
equator
equilibrium
equinox
era
erg desert
erosion
erosional landform
erratic
esker
establishment
estimator
estuary
eukaryota
eukaryote
eustacy
eutrophication
eutrophic lake
evaporation
evaporation fog
steam fog
sea smoke
evaporation pan
evaporite
evapotranspiration
evergreen vegetation
evolution
exfoliation dome
exogenic
exosphere
exotic stream
experiment
exploitation
explosive eruption
extinction
extrusive igneous rock
eye
facilitation
facilitation model of succession
fahrenheit scale
fall
false origin
falsification
fault
fault plane
fault scarp
feedback loop
feldspar
felsic magma
fen
fermentation
fern
ferrel cell
ferricretes
fertilizer
fetch
field capacity
firn
firn limit
firn line
first law of thermodynamics
fish
fission
nuclear
fissionable isotope
fissure
fitness
fixed energy
fjord
flash flood
flocculation
flood
flood basalt
floodplain
flood tide
fluid
fluid drag
fluvial
focus
föhn wind
fog
fold
folding
foliar leaching
foliation
food chain
food web
foot wall
force
force of acceleration
forest
forminifera
foreset bed
foreshock
fossil
fossil fuel
freezing
freezing rain
freeze-thaw action
freons
fresh water
friction
frictional force
front
frontal fog
frontal lifting
frontal precipitation
frost
frost creep
frost point
frost wedging
fujita tornado intensity scale
fundamental niche
fungi
funnel cloud
fusion
nuclear
gabbro
gaia hypothesis
galaxy
gall-peters projection
gamete
gamma radiation
gap
gas
gelifluction
gelisols
gene frequency
gene pool
general circulation model
gcm
generalist species
genetic adaptation
genetic diversity
genus
geocoding
geodesy
geographical coordinate system
geographic information system
gis
geographic cycle
geographic isolation
geographic range
geography
geoid
geologic time scale
geology
geomorphic threshold
geomorphology
geostationary orbit
geostrophic
wind
geothermal energy
germination
glacial
glaciation
glacial drift
glacial ice
glacial lake
glacial milk
glacial polish
glacial retreat
glacial surge
glacial trough
glacial uplift
glacial valley
glacier
glaciofluvial
glaze
gleization
gleysol soil
global positioning system
gps
global warming
glucose
gneiss
goes
geostationary operational environmental satellite
graben fault
graded stream
gradient
gradient
wind
granite
granitic magma
graphic scale
grass
grassland
graupel
gravel
gravitational water
gravity
grazing food chain
great circle
greenhouse effect
greenhouse gases
greenwich mean time
gmt
grid north
grid south
gross primary productivity
gross secondary productivity
gross sediment transport
ground fog
ground frost
ground ice
ground moraine
groundwater
groundwater flow
groundwater recharge
gulf stream
gust front
gymnosperm
gypsum
gyre
habitat
hadean
hadley cell
hail
hair hygrometer
half-life
halite
hamada
hanging valley
hanging wall
haploid
hardpan
hawaiian high
hazard
headlands
headwaters
heat
heat capacity
heat energy
heat island
helical flow
herb
herbivore
heredity
heterogeneity
heterosphere
heterotroph
high pressure
histosols
holistic
holocene epoch
homeostatic
homeostasis
homosphere
horizon
horn
horst fault
hot spot
host
human geography
human-land tradition
humidity
humus
hurricane
hydration
hydraulic gradient
hydrocarbon
hydrograph
hydrologic cycle
hydrology
hydrolysis
hydrosphere
hydrostatic pressure
hygrometer
hygroscopic
hygroscopic
coefficient
hygroscopic
water
hyphae
hypothesis
hypothesis testing
jet stream
joint
joule
june solstice
jurassic
ice
ice age
iceberg
ice cap
ice fall
ice field
ice fog
ice jam
icelandic low
ice lense
ice pellets
ice sheet
ice shelf
ice wedge
ideal gas law
igneous rock
illuviation
immigrant species
immigration
inceptisols
independent variable
index contour
indicator species
induction
industrial revolution
industrial smog
inferential statistics
infrared radiation
infiltration
infiltration capacity
infiltration rate
inhibition model of succession
inner core
inorganic
inosilicate
input
insect
inselberg
insolation
insolation weathering
instability
interaction
biological
interception
interference
interglacial
intermittent stream
international date line
interspecific
intertropical convergence zone
itcz
intraspecific
intrusive igneous
rock
inverse square law
inversely proportional
invertebrate
inversion
ion
ionizing radiation
ionosphere
island arc
isobar
isolated system
isoline
isostacy
isostatic depression
isostatic rebound
isotherm
isothermal layer
isotope
isotopic dating
kame
kame terrace
kaolinite
karst
katabatic wind
kelvin scale
kettle hole
kettle moraine
keystone species
kilocalorie
kcal
kilopascal
kpa
kilowatt
kw
kinetic energy
kingdom
kirchoff's law
knickpoint
köppen climate classification
k-selected species
logistic strategy
lagoon
lahar
lake
land breeze
landfall
landsat
landslide
landward
langley
la niña
laminar flow
latent heat
latent heat flux
latent heat of condensation
latent heat of vaporization
lateral moraine
laterite
laterization
latitude
latosol
laurasia
lava
lava flow
law of basin areas
law of conservation of energy
law of stream lengths
law of stream number
law of the minimum
ldc
leachate
leaching
leaf drip
lee
leeward
legume
less developed country
ldc
levee
liana
lichen
light
lightning
light year
lignite
limestone
limiting factor
lipid
liquefaction
liquid
lithification
lithosphere
litter
litterfall
little climatic optimum
little ice age
littoral drift
littoral transport
littoral zone
loam
lobe
location
loess
logarithmic scale
longitude
longshore current
longshore drift
longshore transport
long wave
longwave radiation
"lovelock, james e."
low pressure
lower mantle
luvisol soil
lysimeter
macronutrient
mafic magma
magma
magma plume
magnetic declination
magnetic field
magnetic north
magnetic reversal
magnetic south
magnetosphere
magnitude
mammal
mangrove
mantle
map
map projection
map scale
march equinox
marine
maritime effect
maritime polar air mass
mp
maritime tropical air mass
mt
mass
mass balance
mass extinction
mass movement
mass number
mass wasting
matric force
matter
maunder minimum
mdc
mean
mean sea-level
mean solar day
meander
medial moraine
median
mediterranean scrubland
melting
meltwater
mercalli scale
mercator projection
mercury barometer
meridian
meridional
meridional transport
mesa
mesocyclone
mesopause
mesophyte
mesoscale convective complex
mesosphere
mesotrophic lake
mesozoic
metabolism
metamorphic rock
metamorphism
metasomatic metamorphism
meteor
meteorology
methane
mica
micronutrient
microorganism
microwave radiation
mid-latitude cyclone
mid-oceanic ridge
migration
milankovitch
theory
milky way galaxy
military grid reference system
miller cylindrical projection
millibar
mb
mineral
mineralization
mississippian
mistral
mitochondria
mixed tide
mixing ratio
mode
model
moho discontinuity
moist adiabatic lapse rate
molecule
mollisols
mollweide projection
monera
monocline
monsoon
montmorillonite
montreal protocol
moraine
more developed country
mdc
morphological system
morphometry
moss
mountain breeze
mouth
movement
mudflow
mudstone
multispectral scanner
mss
muscovite
muskeg
mutation
mutualism
mycorrhizae
native species
natural gas
natural hazards
natural ionizing radiation
natural selection
neap tide
needle ice
negative feedback
net
longwave radiation
balance
net primary productivity
net
radiation
balance
net
shortwave radiation
balance
neutral
neutral atmosphere
neutralism
neutral solution
neutron
névé
newton
niche
niche specialization
nickpoint
knickpoint -
nimbostratus clouds
nitrate
nitric acid
nitric oxide
nitrification
nitrite
nitrogen cycle
nitrogen dioxide
nitrogen fixation
nitrogen oxides
nitrogen saturation
nitrous oxide
nivation
nivation hollow
noctilucent clouds
non-clastic sedimentary rock
non-ionizing radiation
non-parametric statistical test
non-renewable resource
nonsymbiotic mutualism
normal distribution
normal fault
normal lapse rate
northeast trade winds
northing
north magnetic pole
north pole
nuclear energy
nucleic acid
nucleus
nuee ardente
null hypothesis
nutrient
nutrient cycle
oblique aerial photograph
obliquity
obsidian
occluded front
ocean
ocean basin
ocean current
ocean floor
oceanic crust
oceanic plate
oceanography
ocean trench
o horizon
oil
old growth forest
oligotrophic lake
olivine
omnivore
one-tailed statistical test
onshore-offshore transport
open sea
open system
open talik
optimum
opisometer
organ
organelle
organic
organic matter
organic soil
organism
origin
orogenesis
orogenic belt
orographic uplift
orographic
precipitation
orthographic projection
outcrop
outer core
outgassing
output
outwash
outwash plain
ordovician
overbank flow
overland flow
overthrust fault
overturned fold
oxbow lake
oxidation
oxisol
ozone
ozone hole
ozone layer
ozonosphere
pacific high
paleoclimate
paleoclimatology
paleolake
paleosol
paleozoic
palsa
pan
pan
pangaea
parallel
parametric tests
parasite
parasitism
parent material
particulate matter
parts per billion
ppb
parts per million
ppm
parts per thousand
ppt
passive remote sensing
paternoster lakes
pathogen
patterned ground
peak annual flow
peat
pebble
pediment
pediplain
pedogenic regime
pedogenesis
pedology
pedon
pennsylvanian
perched water table
percolation
perennial plant
peridotite
periglacial
perihelion
period
periodic table
permafrost
permeability
permian
peroxyacetyl nitrate
pan
ph
phanerozoic
phase change
phloem
photochemical smog
photodissociation
photogrammetry
photoperiod
photoperiodism
photon
photosphere
photosynthesis
photosynthetic autotroph
phylogenic
classification
phylum
physical geography
physical weathering
phytoplankton
piedmont glacier
pigment
pingo
pioneer community
pioneer species
pitted topography
place
plagioclase feldspar
plane of the ecliptic
planet
plankton
plant
plantae
plastic deformation
plateau basalt
plate tectonics
platform
playa
pleistocene epoch
plucking
pluton
podzolization
podzol soil
point bar
polar axis
polar cell
polar easterlies
polar front
polar high
polar jet stream
polar stratospheric clouds
polar vortex
pollutant
pollution
polycyclic landform
polygenetic landform
polypedon
pool
population
population crash
population density
population parameter
pore ice
porosity
positive feedback
potential energy
quantitative revolution
quarrying
quartz
quartzite
quaternary
potential evapotranspiration
ppb
ppm
ppt
precambrian
precambrian shield
precession of the equinox
precipitable water
precipitate
precipitation
predation
predator
prediction
pressure
pressure gradient force
pressure melting point
prevailing wind
prey
primary carnivore
primary consumer
primary pollutant
primary producer
primary succession
primary wave
prime meridian
probability
process-response system
producer
productivity
progradation
progressive succession
prokaryote
propagule
proportional
protein
proterozoic
protista
proton
protoplasm
protozoa
proxy data
psychrometer
psychrometric table
p-wave
pyramid of biomass
pyramid of numbers
pyroclastic material
pyroxene
radarsat
radiant energy
radiation
radiation fog
radioactive decay
radioisotope
radioactive isotope
radiometer
rain
raindrop impact
rain gauge
rainshadow effect
rainsplash
rainwash
random
range
rangeland
reach
realized niche
recessional moraine
recharge area
rectangular coordinate system
recumbent fold
recurrence interval
reduction
reef
re-entrants
reference map
reflected infrared radiation
reflected wave
reflection
reflection
atmospheric
refraction
reg
region
regional metamorphism
regolith
regosol soil
relative humidity
relief
remote sensing
remote sensor
representative fraction
reptile
resource
resource partitioning
respiration
retrogressive succession
reverse fault
revolution
r horizon
rhumb line
rhyolite
ria coast
ribbon falls
ribonucleic acid
rna
richter scale
riffle
rift
rift valley
rill
rime
ring of fire
rip current
ripple
river
robinson projection
roche moutonnee
rock
rock cycle
rockfall
rock flour
rock slide
roll cloud
rossby wave
rotation
rotational slip
r-selected species
malthusian strategy
runoff
salinity
salinization
salt
saltation
salt marsh
saltwater intrusion
sample
sand
sand dune
sand sea
sand sheet
sandstone
sand ripples
sand wedge
santa ana wind
saturated adiabatic lapse rate
salr
saturation
taiga
taku
talik
talus
talus slope
tarn
taxon
taxonomic classification
tectonic plate
tectonics
saturation mixing ratio
savanna
scale
scarification
scattering
atmospheric
scavenger
schist
science
scientific method
sclerophyllous vegetation
scour
scree
sea
sea arch
sea breeze
sea-floor spreading
sea-level
sea-level pressure
seamount
sea smoke
seasons
sea stack
seaward
seawater
secondary carnivore
secondary consumer
temperate deciduous forest
temperate glacier
temperate rain forest
temperature
temperature inversion
tephra
terminal fall velocity
terminal moraine
terminal velocity
terminus
terrace
tertiary
tertiary consumer
tetrahedron
texture
thalweg
thematic map
thematic mapper
theory
thermal circulation
thermal equator
thermal high
thermal infrared radiation
thermal low
secondary pollutant
secondary substance
secondary succession
secondary wave
second-growth forest
second law of thermodynamics
sedge
sediment
sedimentary rock
sediment rating curve
seed
seed bank
seed dispersal
seepage
seepage lake
segregated ice
seif
seismic
seismic wave
seismograph
seismology
self-regulation
semi-diurnal tide
sensible heat
september equinox
sexual
reproduction
thermal metamorphism
thermocline
thermodynamic equilibrium
thermodynamic laws
thermokarst
thermometer
thermosphere
third law of thermodynamics
threatened species
threshold
threshold velocity
throughfall
throughflow
through talik
thrust fault
thunder
thunderstorm
tidal current
tidal period
tidal zone
tide
till
till plain
time
tiros
television and infrared observation satellite
tissue
tolerance model of succession
tolerance range
tombolo
topographic map
topographic profile
topography
shale
shear stress
shear wave
sheet flow
sheeting
sheetwash
shield
shield volcano
shore
shoreline
short wave
shortwave radiation
shrub
sial layer
siberian high
sidereal day
silica
silicate
silicate magma
silcretes
sill
silt
siltstone
silurian
sima layer
sink
sinkhole
sinusoidal equal-area projection
slaking
slate
topset bed
tornado
tornado alley
tornado warning
tornado watch
total column ozone
traction
trade winds
transform fault
transparency
transpiration
transport
tree
triassic
tributary
trophic level
trophic pyramid
tropical cyclone
tropical depression
tropical disturbance
tropical savanna
tropical storm
tropical rainforest
tropic of cancer
tropic of capricorn
tropopause
troposphere
trough
true north
true south
tsunami
tundra
turbulent flow
sleet
sling psychrometer
slip-face
slope aspect
slope failure
slump
small circle
smog
snout
snow
snowfield
snow line
snow melt
snow pellets
soil
soil colloids
soil creep
soil erosion
soil fertility
soil-heat flux
soil horizon
soil moisture recharge
soil organic matter
soil permeability
soil porosity
soil profile
soil science
soil solution
soil structure
soil taxonomy
soil texture
soil water
solar altitude
solar constant
solar day
solar energy
two-tailed statistical test
typhoon
solar noon
solar radiation
solar system
solar wind
solar year
solid
solifluction
solonetzic soil
solstice
solum
solution
source region
southeast trade winds
southern oscillation
south magnetic pole
south pole
space
spatial analysis
spatial isolation
spatial tradition
specialist species
speciation
species
species association
species diversity
specific gravity
specific heat
ultisols
ultramafic
ultraviolet radiation
unconfined aquifer
unconfined groundwater
unconformity
undercut bank
uniformitarianism
united states natural resources conservation service soil classification system
universal time
ut
universal transverse mercator
utm
grid system
universe
unloading
unstable atmosphere
unstable equilibrium
updraft
specific humidity
spectrum
speed of light
spheroidal weathering
spit
spodosols
sporadic permafrost
spot
centre national d'etudes spatiales
spring
spring
tide
squall line
stability
stable atmosphere
stable equilibrium
stadial moraine
stage
standard atmospheric pressure
standard deviation
star
starch
state of matter
static equilibrium
stationary front
steady state equilibrium
steam fog
stemflow
stefan-boltzmann law
upper air westerlies
upper mantle
upslope fog
upwelling
urban area
urban heat island
urbanization
steppe
stoma
stomata
storm surge
storm track
stoss
stratified drift
strata
stratigraphy
stratocumulus clouds
stratopause
stratosphere
stratovolcano
stratus clouds
stream
stream bank
stream bed
stream channel
stream discharge
stream flow
stream gradient
stream load
stream order
stream long profile
striations
strike
strike-slip fault
structural landform
subatomic particles
subduction
tectonic
subduction zone
sublimation
submarine canyon
subpolar glacier
subpolar lows
subsea permafrost
subsidence
subsolar point
subtropical high pressure zone
subtropical jet stream
succession
succulent vegetation
sugar
sulfur dioxide
sulfate aerosol
sulfuric acid
summer
summer solstice
sun
sunrise
sunset
sunspot
supercooled water
super-saturation
surface heat flux
surface creep
surface tension
surface wave
surge
suspended load
suspension
sustainable development
swash
s-wave
swell
symbiotic
symbiotic mutualism
syncline
synoptic scale
system
system attribute
system boundary
system element
system relationship
system state
vacuum
valley
valley breeze
valley fog
valley train
valley wall
vapor pressure
variance
varve
vascular plant
velocity
ventifact
venturi
vernal equinox
vertebrate
vertical aerial photograph
vertisols
virus
viscosity
volatile organic compounds
vocs
volcanic ash
volcanic neck
volcanic pipe
volcanic vent
volcano
volatilization
volume
vortex
x-axis
xerophyte
x-ray radiation
xylem
warm desert
warm front
wash
water consumption
waterfall
watershed
waterspout
water table
water
withdrawal
watt
wave
wave crest
wave-cut notch
wave-cut platform
wave cyclone
wave height
wavelength
wave period
wave refraction
wave trough
weather
weathering
weathering landform
weather map
westerlies
wet-bulb depression
wet-bulb thermometer
wet deposition
wetland
wetting and drying
wien's law
wilting point
wind
wind ripples
wind vane
windward
winter
winter solstice
yardang
y-axis
yazoo tributary
younger-dryas
zonal
zone of ablation
zone of accumulation
zone of saturation
zooplankton
