abdomen
kinetochore
kingdom
koch's postulates
krebs cycle
lacteal
lagging strand
lamella
larva
larvae
lateral line system
lateral meristem
law of independent assortment
law of segregation
leaching
leading strand
leaf
learning
leukocyte
leukotriene
lichen
life cycle
life-history pattern
life table
ligament
ligand
ligand-gated ion channel receptor
light-dependent reactions
light-independent reactions
light microscope
light reactions
lignin
limbic system
linkage
linked genes
linkage group
linkage map
lipid
lipoprotein
locus
loci
logistic population growth
long-day plant
loop of henle
lumen
lungs
luteinizing hormone
lymph
lymph node
lymphatic system
lymphocyte
lymphokine
lysis
lysogenic bacteria
lysogenic cycle
lysosome
lysozyme
lytic cycle
m phase
macroevolution
macromolecule
macronutrient
macrophage
major histocompatibility complex
malpighian tubule
mammalia
mantle
marine
marsupial
mass number
mast cell
matrix
matter
mechanoreceptor
medulla
medulla oblongata
medusa
megapascal
megaspore
meiosis
membrane potential
memory cell
mendel's first law
mendel's second law
meniscus
menstrual cycle
meristem
meroblastic cleavage
mesentery
mesoderm
mesophyll
messenger rna
metabolism
metamorphosis
metanephridium
metanephridia
metaphase
metapopulation
metastasis
mhc
microbe
microevolution
microfilament
micronutrient
microspore
microtubule
microvillus
microvilli
middle lamella
mimicry
mineral
mineralocorticoid
minimum dynamic area
minimum viable population size
missense mutation
mitochondrial matrix
mitochondrion
mitochondria
mitosis
modern synthesis
molarity
mold
mole
molecular formula
molecular weight
molecule
molting
monoclonal antibody
monocot
monocotyledon
monoculture
monoecious
monohybrid
monohybrid cross
monomer
monophyletic
monosaccharide
monotreme
morphogen
morphogenesis
morphological
morphological species concept
morphology
morphospecies
mortality rate
mosaic development
mosaic evolution
motor neuron
motor unit
mpf
muscle fiber
mrna
müllerian mimicry
multigene family
mutagen
mutagenesis
mutant
mutation
mutualism
mycelium
mycorrhizae
myelin sheath
myofibril
myoglobin
myosin
nad
nadp
natural killer cell
natural logarithm
natural selection
nectar
negative feedback
nematocyst
nephridium
nephridia
nephron
neritic zone
nerve
nerve fiber
nerve impulse
nervous system
net primary production
net primary productivity
net productivity
neural crest
neural groove
neural plate
neural tube
neuromodulator
neuromuscular junction
neuron
neurosecretory cells
neurotransmitter
neutral variation
neutron
niche
nitrification
nitrogen cycle
nitrogen fixation
nitrogenase
nitrogenous base
nocturnal
node
nodes of ranvier
nomograph
noncompetitive inhibitor
noncyclic electron flow
noncyclic photophosphorylation
nondisjunction
nonpolar covalent bond
nonsense mutation
noradrenaline
norepinephrine
norm of reaction
notochord
nuclear envelope
nucleic acid
nucleic acid probe
nucleoid
nucleoid region
nucleolus
nucleoside
nucleosome
nucleotide
nucleus
null hypothesis
obligate aerobe
obligate anaerobe
oceanic zone
oligotrophic lake
omnivore
oncogene
ontogeny
oocyte
oogamy
oogenesis
open circulatory system
operant conditioning
operator
operon
opportunistic species
opsonization
orbital
order
organ
organ-identity gene
organ of corti
organelle
organic
organic chemistry
organic compound
organism
organogenesis
orgasm
origin of replication
osmoconformer
osmolarity
osmoregulation
osmoregulator
osmosis
osmotic potential
osmotic pressure
osteichthyes
ostracoderm
outgroup
ovarian cycle
ovarian follicle
ovary
oviduct
oviparous
ovoviviparous
ovulation
ovule
ovum
ova
oxidation
oxidative phosphorylation
oxidizing agent
oxygen debt
pacemaker
paedogenesis
paedomorphosis
paleontology
palisade cells
pancreas
pangaea
paraphyletic
parasite
parasitism
parasympathetic division
parathyroid glands
parazoa
parenchyma
parental generation
parthenogenesis
partial pressures
passive transport
pathogen
pattern formation
pedigree
pelagic zone
penetrance
peptide bond
peptidoglycan
perception
perennial
pericycle
periderm
peripheral nervous system
peristalsis
peritoneum
peritubular capillaries
permeable
peroxisome
petiole
ph scale
phage
phagocytosis
pharynx
phenetics
phenotype
pheromone
phloem
phosphate group
phospholipids
phosphorylation
photic zone
photoautotroph
photoheterotroph
photon
photoperiodism
photophosphorylation
photoreceptor
photorespiration
photosynthesis
photosystem
phototropism
phyletic change
phylogeny
phylum
phyla
physiology
phytoalexin
phytochrome
phytoplankton
pigment
pilus
pili
pineal gland
pinocytosis
pith
pituitary gland
placenta
placental mammal
placoderm
plankton
planula
plasma
plasma cell
plasma membrane
plasmid
plasmodesma
plasmodesmata
plasmogamy
plasmolysis
plastid
platelet
pleated sheet
pleiotropy
plesiomorphic character
pluripotent stem cell
point mutation
polar
polar body
polar covalent bond
polar molecule
polar nuclei
pollen
pollination
polyandry
polygenic inheritance
polygyny
polymer
polymerase
polymerase chain reaction
polymorphic
polymorphism
polynucleotide
polyp
polypeptide
polyphyletic
polyploid
polyploidy
polyribosome
polysaccharide
polysome
population
population bottleneck
population density
population viability analysis
positional information
positive feedback
posterior
postsynaptic membrane
postzygotic barrier
potential energy
predation
predator
pressure-flow hypothesis
prey
prezygotic barrier
primary consumer
primary germ layers
primary growth
primary immune response
primary producer
primary productivity
primary structure
primary succession
primer
primate
primitive
primordium
primordia
principle of allocation
prion
probe
procambium
progesterone
prokaryotic cell
prometaphase
promoter
prophage
prophase
prosimian
prostaglandin
prostate gland
protein
protein kinase
protein phosphatase
proteoglycans
proteasome
protoderm
proton
proton-motive force
proton pump
protonephridium
proto-oncogene
protoplasm
protoplast
protostome
protozoan
protozoa
provirus
proximate causation
pseudocoelom
pseudocoelomate
pseudopodium
pulmonary
pulmonary artery
pulmonary vein
pulse
punctuated equilibrium
punnett square
pupa
purine
pyramid of energy
pyrimidine
quantitative character
quaternary structure
queen
quiescent center
r plasmid
r-selection
radial cleavage
radial symmetry
radiation
radiata
radicle
radioactive dating
radioactive isotope
radiometric dating
reactant
receptor
receptor-mediated endocytosis
receptor potential
recessive allele
reciprocal altruism
recognition sequence
recognition species concept
recombinant
recombinant dna
recombination
redox reaction
reducing agent
reduction
reflex
refractory period
regulative development
relative fitness
relay neuron
releaser
releasing hormone
renal
repetitive dna
replication
replication fork
repressible enzyme
repressor
reproductive isolation
reptilia
resolving power
resource partitioning
respiration
resting potential
restriction enzyme
restriction fragment length polymorphisms
restriction site
reticular formation
reticulum
retina
retinal
retrovirus
reverse transcriptase
rhizoid
rhizome
rhodopsin
ribonucleic acid
ribose
ribosomal rna
ribosome
ribozyme
rna
rna polymerase
rna processing
rna splicing
rod cell
root
root cap
root hair
root pressure
rough er
rubisco
ruminant
s phase
sa
saltatory conduction
saprobe
sarcolemma
sarcomere
sarcoplasmic reticulum
saturated fatty acid
savanna
schwann cells
sclereid
sclerenchyma cell
second law of thermodynamics
second messenger
secondary compound
secondary consumer
secondary growth
secondary immune response
secondary productivity
secondary sex characteristics
secondary structure
secondary succession
secretion
sedimentary rock
seed
segregation
selection
selection coefficient
selective permeability
selective pressure
self-incompatibility
self-fertilization
self-pollination
semen
semicircular canals
semilunar valve
seminal vesicle
seminiferous tubules
sensation
sensory neuron
sensory receptor
sepal
septum
sessile
sex chromosomes
sex-linked genes
sex-linked trait
sexual dimorphism
sexual reproduction
sexual selection
shoot system
short-day plant
sieve tube member
sign stimulus
signal peptide
signal-transduction pathway
sink habitat
sinoatrial node
sister chromatids
skeletal muscle
sliding-filament model
small nuclear ribonucleoprotein
smooth er
smooth muscle
social dominance
society
sociobiology
sodium-potassium pump
solute
solution
solvent
somatic cell
somatic nervous system
somatotropin
source habitat
southern blotting
specialized
speciation
species
species
species diversity
species richness
species selection
species-specific
specific
specific heat
spectrophotometer
sperm
spermatid
spermatocytes
spermatogonia
spermatogenesis
sphincter
spinal cord
spindle
spiracle
spiral cleavage
spliceosome
splitting evolution
spongy parenchyma
sporangiophore
sporangium
sporangia
spore
sporophyte
sporopollenin
stablizing selection
stamen
starch
statocyst
stele
stem
stem cells
stereoisomer
stereoscopic vision
steroids
stigma
stimulus
stoma
stomata
strategy
striated muscle
strict aerobe
strict anaerobe
stroma
stromatolite
structural formula
structural gene
style
substrate
substrate-level phosphorylation
succession
sucrose
sugar
summation
suppressor t cell
surface tension
survivorship curve
suspension-feeder
sustainable agriculture
sustainable development
swim bladder
symbiont
symbiosis
sympathetic division
sympatric speciation
symplast
synapomorphies
synapse
synapsis
synaptic cleft
synaptic knob
synaptic terminal
syngamy
synthesis
synthesis phase
systematics
systemic acquired resistance
systole
systolic pressure
t cell
taiga
taxis
taxon
taxa
taxonomy
telomerase
telomere
telophase
temperate bacteriophage
temperate deciduous forest
temperate virus
temperature
template
tendon
tentacles
terminator
territory
tertiary consumer
tertiary structure
testcross
testis
testes
testosterone
tetanus
tetrad
tetrapod
thalamus
thallus
theory
thermodynamics
thermoregulation
thick filament
thigmomorphogenesis
thigmotropism
thorax
threatened species
threshold potential
thylakoid
thymus
thyroid gland
thyroid-stimulating hormone
ti plasmid
tight junction
tissue
tonoplast
torpor
totipotency
trace element
trachea
trachea
tracheae
tracheal system
tracheid
tract
transcription
transcription factor
transduction
transfer rna
transformation
transgenic
translation
translocation
transpiration
transposon
triplet code
triploblastic
trophic level
trophic structure
trophoblast
tropic
tropic hormone
tropical rain forest
tropism
tuber
tumor
tumor suppressor gene
tundra
turgid
turgor pressure
tyrosine kinase
tyrosine kinase receptor
ultimate causation
unsaturated fatty acid
urea
ureter
urethra
uric acid
urine
urochordate
uterus
vaccine
vacuole
vagina
valence shell
van der waals interactions
vaporization
variation
vas deferens
vasa deferentia
vascular
vascular bundle
vascular cambium
vascular plants
vascular tissue
vascular tissue system
vector
vegetative reproduction
vein
vena cava
ventilation
ventral
ventricle
venule
vertebral column
vertebrate
vesicle
vessel element
vestigial organ
viable
villus
villi
viroid
virulent
virus
viscera
visceral muscle
visible light
vitalism
vitamin
viviparous
voltage-gated channel
water cycle
water potential
water vascular system
wavelength
wild type
wobble
worker
xylem
yeast
yolk
yolk sac
zoned reserve systems
zoology
zooplankton
zygote
